System call,Windows NT (SP6),Windows 2000 (SP2),Windows 2000 (SP4),Windows XP (SP0),Windows XP (SP1),Windows XP (SP2),Windows XP (SP3),Windows Server 2003 (SP0),Windows Server 2003 (SP1),Windows Server 2003 (SP2),Windows Server 2003 (R2),Windows Server 2003 (R2 SP2),Windows Vista (SP0),Windows Vista (SP1),Windows Vista (SP2),Windows Server 2008 (SP0),Windows Server 2008 (SP2),Windows 7 (SP0),Windows 7 (SP1),Windows 8 (8.0),Windows 8 (8.1),Windows 10 (1507),Windows 10 (1511),Windows 10 (1607),Windows 10 (1703),Windows 10 (1709),Windows 10 (1803),Windows 10 (1809),Windows 10 (1903),Windows 10 (1909),Windows 10 (2004),Windows 10 (20H2)
NtDCompositionDestroyConnectionContext,,,,,,,,,,,,,,,,,,,,0x1396,,,,,,,,,,,,
NtDCompositionDiscardFrame,,,,,,,,,,,,,,,,,,,,0x1393,0x13b0,0x13f4,0x13f7,0x1406,0x13d9,0x13f4,0x1408,0x1411,0x1415,0x1415,0x1020,0x1020
NtDCompositionDuplicateHandleToProcess,,,,,,,,,,,,,,,,,,,,,0x13e2,0x1426,0x1428,0x1429,0x13fc,0x1417,0x142b,0x1434,0x1438,0x1438,0x1021,0x1021
NtDCompositionDuplicateSwapchainHandleToDwm,,,,,,,,,,,,,,,,,,,,,,0x142d,0x142f,0x142c,0x13ff,0x141a,0x142f,0x1438,0x143c,0x143c,0x1131,0x1131
NtDCompositionDwmSyncFlush,,,,,,,,,,,,,,,,,,,,0x13b6,0x13da,,,,,,,,,,,
NtDCompositionEnableDDASupport,,,,,,,,,,,,,,,,,,,,,,0x13dd,0x13df,0x13f0,0x13c2,0x13dd,0x13ee,,,,,
NtDCompositionEnableMMCSS,,,,,,,,,,,,,,,,,,,,,,0x13db,0x13dd,0x13ee,0x13c0,0x13db,0x13ec,0x13f6,0x13fa,0x13fa,0x1022,0x1022
NtDCompositionGetAnimationTime,,,,,,,,,,,,,,,,,,,,,,0x1428,0x142a,,,,,,,,,
NtDCompositionGetBatchId,,,,,,,,,,,,,,,,,,,,,,,,,,,0x141e,0x1427,0x142b,0x142b,0x1023,0x1023
NtDCompositionGetChannels,,,,,,,,,,,,,,,,,,,,0x13b9,0x13df,0x1422,0x1424,0x1425,0x13f8,0x1413,0x1427,0x1430,0x1434,0x1434,0x1024,0x1024
NtDCompositionGetConnectionBatch,,,,,,,,,,,,,,,,,,,,,0x13b4,0x13f8,0x13fb,0x140a,0x13dd,0x13f8,0x140c,0x1415,0x1419,0x1419,0x1025,0x1025
NtDCompositionGetConnectionContextBatch,,,,,,,,,,,,,,,,,,,,0x1397,,,,,,,,,,,,
NtDCompositionGetDeletedResources,,,,,,,,,,,,,,,,,,,,0x1399,0x13b6,0x13fa,0x13fd,0x140c,0x13df,0x13fa,0x140e,0x1417,0x141b,0x141b,0x1026,0x1026
NtDCompositionGetFrameLegacyTokens,,,,,,,,,,,,,,,,,,,,0x1395,0x13b2,0x13f6,0x13f9,0x1408,0x13db,0x13f6,0x140a,0x1413,0x1417,0x1417,0x1027,0x1027
NtDCompositionGetFrameStatistics,,,,,,,,,,,,,,,,,,,,0x1398,0x13b5,0x13f9,0x13fc,0x140b,0x13de,0x13f9,0x140d,0x1416,0x141a,0x141a,0x1028,0x1028
NtDCompositionGetFrameSurfaceUpdates,,,,,,,,,,,,,,,,,,,,0x1394,0x13b1,0x13f5,0x13f8,0x1407,0x13da,0x13f5,0x1409,0x1412,0x1416,0x1416,0x1029,0x1029
NtDCompositionGetMaterialProperty,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x143d,0x1441,0x1441,0x102a,0x102a
NtDCompositionOpenSharedResource,,,,,,,,,,,,,,,,,,,,,0x13d5,0x1419,0x141c,,,,,,,,,
NtDCompositionOpenSharedResourceHandle,,,,,,,,,,,,,,,,,,,,,0x13d6,0x141a,0x141d,,,,,,,,,
NtDCompositionProcessChannelBatchBuffer,,,,,,,,,,,,,,,,,,,,,,,,0x1411,0x13e4,0x13ff,0x1413,0x141c,0x1420,0x1420,0x102b,0x102b
